Ambiances,Script Ambiances,Formats/Ratios),Script Formats/Ratios,Angles,Scripts Angles,Styles Photo,Scripts Styles Photos,Scénarios,Scripts Scénarios,Personnages,Script Personnages,Lumières,Script Lumières,,,
Luxe Marbre Noir,"Elegant black marble surface, high-end gold rim lighting, minimalist and sophisticated, deep moody shadows.",,,,,Soft Focus / Rêveur,"Glow effect, hazy atmosphere, soft edges, ethereal lighting, romantic and peaceful vibe.",,,,,,,,,
Forêt & Brume,"Placed on a mossy rock, misty pine forest background, soft overcast natural light, damp and earthy textures.",,,,,Flash Direct (Hard Light),"Hard shadows, vibrant colors, ""paparazzi"" style, modern and edgy commercial aesthetic.",,,,,,,,,
Bureau Moderne,"Clean white office desk, set next to a laptop and a notebook, bright indoor lighting, professional and productive vibe.",,,,,Exposition Double,"Creative overlay of the product with a nature or texture pattern, artistic and conceptual.",,,,,,,,,
Ambiance Noël,"Surrounded by pine branches and soft bokeh Christmas lights, warm orange tones, cozy winter festive atmosphere.",,,,,Nature Morte Scandinave,"Minimalist, pastel colors, soft top lighting, matte textures, clean and functional aesthetic.",,,,,,,,,
Plage de Sable,"Half-buried in clean white sand, sea shells nearby, golden hour sunset lighting, warm and tropical feeling.",,,,,Style Industriel,"Cold tones, sharp details, metallic and concrete textures, gritty but professional lighting.",,,,,,,,,
Minimaliste Zen,"Set on a smooth light stone, beige sand ripples in the background, soft diffused light, neutral earth tones, very calm.",,,,,Lumière Volumétrique,"Visible light beams, dusty atmosphere, dramatic rays hitting the product, magical and intense.",,,,,,,,,
Atelier d'Artiste,"Surrounded by paint brushes and splatters, creative messy background, directional studio light, vibrant and textured.",,,,,Color Block,"Monochromatic color scheme (background matches product), bold shadows, graphic and modern.",,,,,,,,,
Café de Rue,"On a small bistro table, blurred city street and pedestrians in the background, natural afternoon light, urban lifestyle.",,,,,Flat Lay Pro,"Perfectly top-down, knolling arrangement of objects, soft even lighting, graphic composition.",,,,,,,,,
Scène de Sport,"Placed on a black rubber gym floor, weights and kettlebells in the blurred background, dramatic top-down spotlight, high contrast.",,,,,Vitesse d'obturation lente,"Artistic motion blur in the background, sharp product, sense of movement and energy.",,,,,,,,,
Pop Art Flashy,"Bright yellow solid background, high-contrast flat lighting, 2D comic book feel, vibrant and saturated colors.",,,,,Style Editorial Gastronomie,"Hyper-detailed textures, vibrant food styling, rich colors, ""Bon Appétit"" magazine aesthetic.",,,,,,,,,
